Key,English,Arabic
ACHIEVEMENT_KILL_AIBATT_NAME,Aibatt,عفريت
ACHIEVEMENT_KILL_MUSHPANG_NAME,Mushpang,شغب
ACHIEVEMENT_KILL_BURUDENG_NAME,Burudeng,دعسوق
ACHIEVEMENT_KILL_PUKEPUKE_NAME,Pukepuke,جامح
ACHIEVEMENT_KILL_PEAKYTURTLE_NAME,Peakyturtle,خرموش
ACHIEVEMENT_KILL_DEMIAN_NAME,Demian,مخرب
ACHIEVEMENT_KILL_DORIDOMA_NAME,Doridoma,علقة
ACHIEVEMENT_KILL_LAWOLF_NAME,Lawolf,ذئب
ACHIEVEMENT_KILL_FEFERN_NAME,Fefern,فجلة
ACHIEVEMENT_KILL_NYANGNYANG_NAME,Nyangnyang,مياومياو
ACHIEVEMENT_KILL_BANG_NAME,Bang,صلب
ACHIEVEMENT_KILL_MOTHBEE_NAME,Mothbee,Mothbee
ACHIEVEMENT_KILL_WAGSAAC_NAME,Wagsaac,دعبول
ACHIEVEMENT_KILL_FLYBAT_NAME,Flybat,Flybat
ACHIEVEMENT_KILL_MIA_NAME,Mia,ميا
ACHIEVEMENT_KILL_MRPUMPKIN_NAME,Mr. Pumpkin,السيّد يقطين
ACHIEVEMENT_KILL_REDMANTIS_NAME,Redmantis,Redmantis
ACHIEVEMENT_KILL_ZENDROS_NAME,Zendros,Zendros
ACHIEVEMENT_KILL_JACKTHEHAMMER_NAME,Jack the Hammer,مطرق
ACHIEVEMENT_KILL_GIGGLEBOX_NAME,Giggle Box,Giggle Box
ACHIEVEMENT_KILL_ROCKMUSCLE_NAME,Rock Muscle,Rock Muscle
ACHIEVEMENT_KILL_BUCROW_NAME,Bucrow,Bucrow
ACHIEVEMENT_KILL_NEPARUBA_NAME,Neparuba,Neparuba
ACHIEVEMENT_KILL_HOBO_NAME,Hobo,هوبو
ACHIEVEMENT_KILL_DUMBBULL_NAME,Dumbbull,Dumbbull
ACHIEVEMENT_KILL_TOTEMIA_NAME,Totemia,Totemia
ACHIEVEMENT_KILL_CARDPUPPET_NAME,Cardpuppet,دمية
ACHIEVEMENT_KILL_FLBYRIGEN_NAME,Flybrigen,Flybrigen
ACHIEVEMENT_KILL_TOMBSTONEBEARER_NAME,Tombstone Bearer,Tombstone Bearer
ACHIEVEMENT_KILL_SCOPICON_NAME,Scorpicon,Scorpicon
ACHIEVEMENT_KILL_BASQUE_NAME,Basque,Basque
ACHIEVEMENT_KILL_PRANKSTER_NAME,Prankster,Prankster
ACHIEVEMENT_KILL_ROCKEPELLER_NAME,Rockepeller,Rockepeller
ACHIEVEMENT_KILL_WHEELEM_NAME,Wheelem,Wheelem
ACHIEVEMENT_KILL_LEYENA_NAME,Leyena,ضبع
ACHIEVEMENT_KILL_TRANGFOMA_NAME,Trangfoma,Trangfoma
ACHIEVEMENT_KILL_STEAMWALKER_NAME,Steam Walker,Steam Walker
ACHIEVEMENT_KILL_STEELKNIGHT_NAME,Steel Knight,Steel Knight
ACHIEVEMENT_KILL_ZOMBIGER_NAME,Zombiger,Zombiger
ACHIEVEMENT_KILL_NUTTYWHEEL_NAME,Nuttywheel,Nuttywheel
ACHIEVEMENT_KILL_NUCTUVEHICLE_NAME,Nuctuvehicle,Nuctuvehicle
ACHIEVEMENT_KILL_DRILLER_NAME,Driller,Driller
ACHIEVEMENT_KILL_RISEM_NAME,Risem,Risem
ACHIEVEMENT_KILL_GRRR_NAME,Grrr,Grrr
ACHIEVEMENT_KILL_VOLT_NAME,Volt,Volt
ACHIEVEMENT_KILL_ELDERGUARD_NAME,Elderguard,Elderguard
ACHIEVEMENT_KILL_DUMP_NAME,Dump,Dump
ACHIEVEMENT_KILL_GARBAGEPIDER_NAME,Garbagespider,Garbagespider
ACHIEVEMENT_KILL_ZENMA_NAME,Zenma,Zenma
ACHIEVEMENT_KILL_CRANEMACHINERY_NAME,Crane Machinery,Crane Machinery
ACHIEVEMENT_KILL_NAUTREPY_NAME,Nautrepy,Nautrepy
ACHIEVEMENT_KILL_SYLIACA_NAME,Syliaca,Syliaca
ACHIEVEMENT_KILL_GREEMONG_NAME,Greemong,Greemong
ACHIEVEMENT_KILL_BOO_NAME,Boo,Boo
ACHIEVEMENT_KILL_CARRIERBOMB_NAME,Carrierbomb,Carrierbomb
ACHIEVEMENT_KILL_LONGWANG_NAME,Longwing,Longwing
ACHIEVEMENT_KILL_HOPPRE_NAME,Hoppre,Hoppre
ACHIEVEMENT_KILL_MUSHPOIE_NAME,Mushpoie,Mushpoie
ACHIEVEMENT_KILL_IREN_NAME,Iren,Iren
ACHIEVEMENT_KILL_WATANGKA_NAME,Watangka,Watangka
ACHIEVEMENT_KILL_FAFNIR_NAME,Fafnir,Fafnir
ACHIEVEMENT_KILL_ANTIQUERY_NAME,Antiquery,Antiquery
ACHIEVEMENT_KILL_LUIA_NAME,Luia,Luia
ACHIEVEMENT_KILL_GONGURY_NAME,Gongury,Gongury
ACHIEVEMENT_KILL_SHUHAMMA_NAME,Shuhamma,Shuhamma
ACHIEVEMENT_KILL_KERN_NAME,Kern,Kern
ACHIEVEMENT_KILL_GORRUDA_NAME,Gorruda,Gorruda
ACHIEVEMENT_KILL_GLAPHAN_NAME,Glaphan,Glaphan
ACHIEVEMENT_KILL_KIMERADON_NAME,Chimeradon,Chimeradon
ACHIEVEMENT_KILL_BEARNUCKY_NAME,Bearnerky,Bearnerky
ACHIEVEMENT_KILL_MUFFRIN_NAME,Muffrin,Muffrin
ACHIEVEMENT_KILL_POPCRANK_NAME,Popcrank,Popcrank
ACHIEVEMENT_KILL_CLOCKWORKS_NAME,Clockworks,Clockworks
ACHIEVEMENT_KILL_METEONYKER_NAME,Meteonyker,Meteonyker
ACHIEVEMENT_KILL_MEDUMET_NAME,Medumet,Medumet
ACHIEVEMENT_KILL_YETTI_NAME,Yetti,Yetti
ACHIEVEMENT_KILL_AUGU_NAME,Augu,Augu
ACHIEVEMENT_KILL_GHOSTKING_NAME,Ghost King,Ghost King
ACHIEVEMENT_KILL_MAMMOTH_NAME,Mammoth,Mammoth
