Key,English,Indonesian
CHARACTER_INC_000001,Mikyel,Mikyel
CHARACTER_INC_000011,Noier,Noier
CHARACTER_INC_000017,[Sage] Radion,[Sage] Radion
CHARACTER_INC_000021,Boboku,Boboku
CHARACTER_INC_000027,Boboko,Boboko
CHARACTER_INC_000033,Luda,Luda
CHARACTER_INC_000034,Weapons,Weapons
CHARACTER_INC_000035,Armors,Armors
CHARACTER_INC_000039,Lui,Lui
CHARACTER_INC_000043,Arrows,Arrows
CHARACTER_INC_000045,Losha,Losha
CHARACTER_INC_000051,Marche,Marche
CHARACTER_INC_000057,Julia,Julia
CHARACTER_INC_000059,Dior,Dior
CHARACTER_INC_000065,Is,Is
CHARACTER_INC_000068,Iske,Iske
CHARACTER_INC_000070,Ispim,Ispim
CHARACTER_INC_000072,Isruel,Isruel
CHARACTER_INC_000075,Ismeralda,Ismeralda
CHARACTER_INC_000083,Flaris Pang,Flaris Pang
CHARACTER_INC_000091,Jeff,Jeff
CHARACTER_INC_000099,[High-Dwarpet] Tucani,[High-Dwarpet] Tucani
CHARACTER_INC_000101,[Jester Wise-man] Radyon,[Jester Wise-man] Radyon
CHARACTER_INC_000103,[Ranger Wise-man] Kimel,[Ranger Wise-man] Kimel
CHARACTER_INC_000111,[Pepoview] Brodeay,[Pepoview] Brodeay
CHARACTER_INC_000113,[Pepoview] Ruminerr,[Pepoview] Ruminerr
CHARACTER_INC_000115,[Pepoview] Ellangdl,[Pepoview] Ellangdl
CHARACTER_INC_000117,[Pepoview] Hotse,[Pepoview] Hotse
CHARACTER_INC_000119,[Pepoview] Vianlee,[Pepoview] Vianlee
CHARACTER_INC_000121,[Pepoview] Clackcable,[Pepoview] Clackcable
CHARACTER_INC_000125,Lancomi,Lancomi
CHARACTER_INC_000127,Helena,Helena
CHARACTER_INC_000129,Martin,Martin
CHARACTER_INC_000135,Bill,Bill
CHARACTER_INC_000141,Tina,Tina
CHARACTER_INC_000144,Fuel,Fuel
CHARACTER_INC_000147,Bulrox,Bulrox
CHARACTER_INC_000153,Bozman,Bozman
CHARACTER_INC_000159,Colack,Colack
CHARACTER_INC_000165,Karin,Karin
CHARACTER_INC_000171,Leann,Leann
CHARACTER_INC_000172,Accessories,Accessories
CHARACTER_INC_000174,Ann,Ann
CHARACTER_INC_000176,Herth,Herth
CHARACTER_INC_000178,Janne,Janne
CHARACTER_INC_000180,Kimberley,Kimberley
CHARACTER_INC_000186,Saint Pang,Saint Pang
CHARACTER_INC_000200,[MagicBox] Ancimys,[MagicBox] Ancimys
CHARACTER_INC_000226,Lurif,Lurif
CHARACTER_INC_000228,Darkon Pang,Darkon Pang
CHARACTER_INC_000230,Stima,Stima
CHARACTER_INC_000231,Mercenary,Mercenary
CHARACTER_INC_000232,Assist,Assist
CHARACTER_INC_000233,Acrobat,Acrobat
CHARACTER_INC_000234,Magician,Magician
CHARACTER_INC_000236,Phacham,Phacham
CHARACTER_INC_000260,Achaben,Achaben
CHARACTER_INC_000261,Collector,Collector
CHARACTER_INC_000262,Poster,Poster
CHARACTER_INC_000263,Magic Tools,Magic Tools
CHARACTER_INC_000264,Arrow,Arrow
CHARACTER_INC_000266,Almani,Almani
CHARACTER_INC_000267,Broom,Broom
CHARACTER_INC_000268,Board,Board
CHARACTER_INC_000272,Bolpor,Bolpor
CHARACTER_INC_000273,Food,Food
CHARACTER_INC_000280,Eshylop,Eshylop
CHARACTER_INC_000284,Haven,Haven
CHARACTER_INC_000285,Wand,Wand
CHARACTER_INC_000286,Staff,Staff
CHARACTER_INC_000288,Robe,Robe
CHARACTER_INC_000290,Ollien,Ollien
CHARACTER_INC_000292,Roocky,Roocky
